SampleID,WordID,Word,Lemma_gold,POS_gold,Lemma_pred,POS_pred
ch_1,ch_1_1,in,in,ADP,in,ADP
ch_1,ch_1_2,dei,deus,PROPN,deus,NOUN
ch_1,ch_1_3,omnipotentis,omnipotens,ADJ,omnipotens,ADJ
ch_1,ch_1_4,nomine,nomen,NOUN,nomen,NOUN
ch_1,ch_1_5,regnante,regno,VERB,regno,VERB
ch_1,ch_1_6,domno,domnus,NOUN,domnum,NOUN
ch_1,ch_1_7,nostro,noster,DET,noster,DET
ch_1,ch_1_8,Karolus,Carolus,PROPN,Karolus,NOUN
ch_1,ch_1_9,divina,diuinus,ADJ,divinus,ADJ
ch_1,ch_1_10,faventem,faueo,VERB,favio,VERB
ch_1,ch_1_11,clementia,clementia,NOUN,clementia,NOUN
ch_1,ch_1_12,rex,rex,NOUN,rex,NOUN
ch_2,ch_2_1,ille,ille,DET,ille,DET
ch_2,ch_2_2,secunda,secundus,ADJ,secundus,ADJ
ch_2,ch_2_3,petia,petia,NOUN,petium,NOUN
ch_2,ch_2_4,de,de,ADP,de,ADP
ch_2,ch_2_5,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_6,capo,caput,NOUN,capus,X
ch_2,ch_2_7,uno,unus,DET,unus,DET
ch_2,ch_2_8,tenet,teneo,VERB,teneo,VERB
ch_2,ch_2_10,suprascripta,suprascriptus,DET,suprascripo,VERB
ch_2,ch_2_11,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_12,quas,qui,PRON,qui,PRON
ch_2,ch_2_13,tibi,tu,PRON,tu,PRON
ch_2,ch_2_14,supra,supra,ADV,supra,ADV
ch_2,ch_2_15,dedi,do,VERB,do,VERB
ch_2,ch_2_16,alio,alius,DET,alius,DET
ch_2,ch_2_17,capo,caput,NOUN,capus,X
ch_2,ch_2_18,tenet,teneo,VERB,teneo,VERB
ch_2,ch_2_20,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_21,qui,qui,PRON,qui,PRON
ch_2,ch_2_22,fuit,sum,AUX,sum,AUX
ch_2,ch_2_23,quondam,quondam,ADJ,quonda,NOUN
ch_2,ch_2_24,Altiperti,Altipertus,PROPN,altipertum,NOUN
ch_2,ch_2_25,ambas,ambo,DET,ambas,ADJ
ch_2,ch_2_26,latera,latus,NOUN,latera,NOUN
ch_2,ch_2_27,tenet,teneo,VERB,teneo,VERB
ch_2,ch_2_28,in,in,ADP,in,ADP
ch_2,ch_2_29,terra,terra,NOUN,terra,NOUN
ch_2,ch_2_30,suprascripte,suprascriptus,DET,suprascripte,ADV
ch_2,ch_2_31,ecclesie,eccelsia,NOUN,ecclesie,NOUN
ch_2,ch_2_32,sancti,sanctus,ADJ,sanctus,ADJ
ch_2,ch_2_33,Iohanni,Johannes,PROPN,iohannes,NOUN
ch_3,ch_3_1,et,et,CCONJ,et,CCONJ
ch_3,ch_3_2,exinde,exinde,ADV,exinde,ADV
ch_3,ch_3_3,tibi,tu,PRON,tu,PRON
ch_3,ch_3_4,vel,uel,CCONJ,vel,CCONJ
ch_3,ch_3_5,ad,ad,ADP,ad,ADP
ch_3,ch_3_6,subcessoribus,successor,NOUN,subcessor,NOUN
ch_3,ch_3_7,tuis,tuus,DET,tuus,DET
ch_3,ch_3_8,ad,ad,ADP,ad,ADP
ch_3,ch_3_9,pars,pars,NOUN,pars,NOUN
ch_3,ch_3_10,ipsius,ipse,DET,ipse,DET
ch_3,ch_3_11,episcopatui,episcopatus,NOUN,episcopo,VERB
ch_3,ch_3_12,vestro,uester,DET,vester,DET
ch_3,ch_3_13,sancti,sanctus,ADJ,sanctus,ADJ
ch_3,ch_3_14,Martini,Martinus,PROPN,martinus,PROPN
ch_3,ch_3_15,per,per,ADP,per,ADP
ch_3,ch_3_16,singulus,singulus,ADJ,singulus,ADJ
ch_3,ch_3_17,vindemias,uindemia,NOUN,vindemia,NOUN
ch_3,ch_3_18,vobis,uos,PRON,vobus,DET
ch_3,ch_3_19,dare,do,VERB,do,VERB
ch_3,ch_3_20,debeamus,debeo,VERB,debeo,VERB
ch_3,ch_3_21,medietatem,medietas,NOUN,medietas,NOUN
ch_3,ch_3_22,vinum,uinum,NOUN,vinum,NOUN
ch_3,ch_3_23,purum,purus,ADJ,purus,ADJ
ch_3,ch_3_24,ad,ad,ADP,ad,ADP
ch_3,ch_3_25,tertiam,tertius,ADJ,tertius,ADJ
ch_3,ch_3_26,vices,uices,NOUN,vicis,NOUN
ch_3,ch_3_27,uba,uua,NOUN,uba,X
ch_3,ch_3_28,legitime,legitime,ADV,legitime,ADV
ch_3,ch_3_29,calcatas,calco,VERB,calco,VERB
ch_3,ch_3_30,et,et,CCONJ,et,CCONJ
ch_3,ch_3_31,inde,inde,ADV,inde,ADV
ch_3,ch_3_32,vinata,uino,VERB,vino,VERB
ch_3,ch_3_33,nam,nam,PART,nam,PART
ch_3,ch_3_34,non,non,PART,non,PART
ch_3,ch_3_35,pondum,pondus,NOUN,pondus,NOUN
ch_3,ch_3_36,levandum,leuo,VERB,levo,VERB
ch_4,ch_4_1,seu,seu,CCONJ,siue,CCONJ
ch_4,ch_4_2,et,et,CCONJ,et,CCONJ
ch_4,ch_4_3,per,per,ADP,per,ADP
ch_4,ch_4_4,singulos,singulus,ADJ,singulus,ADJ
ch_4,ch_4_5,annos,annus,NOUN,annus,NOUN
ch_4,ch_4_6,per,per,ADP,per,ADP
ch_4,ch_4_7,omnem,omnis,DET,omnis,DET
ch_4,ch_4_8,festivitatem,festiuitas,NOUN,festivitas,NOUN
ch_4,ch_4_9,sancti,sanctus,ADJ,sanctus,ADJ
ch_4,ch_4_10,Reguli,Regulus,PROPN,regula,NOUN
ch_4,ch_4_11,censum,census,NOUN,census,NOUN
ch_4,ch_4_12,vobis,uos,PRON,vobus,DET
ch_4,ch_4_13,reddere,reddo,VERB,reddo,VERB
ch_4,ch_4_14,debeamus,debeo,VERB,debeo,VERB
ch_4,ch_4_15,hic,hic,ADV,hic,DET
ch_4,ch_4_16,civitate,ciuitas,NOUN,civitas,NOUN
ch_4,ch_4_17,Luca,Luca,PROPN,lucas,PROPN
ch_4,ch_4_18,ad,ad,ADP,ad,ADP
ch_4,ch_4_19,ipso,ipse,DET,ipse,DET
ch_4,ch_4_20,domo,domus,NOUN,domus,NOUN
ch_4,ch_4_21,vobis,uos,PRON,vobus,DET
ch_4,ch_4_22,vel,uel,CCONJ,vel,CCONJ
ch_4,ch_4_23,ad,ad,ADP,ad,ADP
ch_4,ch_4_24,ministerialem,ministerialis,NOUN,ministerialis,ADJ
ch_4,ch_4_25,vestro,uester,DET,vester,DET
ch_4,ch_4_26,quas,qui,PRON,qui,PRON
ch_4,ch_4_27,per,prae,ADP,per,ADP
ch_4,ch_4_28,tempore,tempus,NOUN,tempus,NOUN
ch_4,ch_4_29,abueritis,habeo,VERB,abuero,VERB
ch_4,ch_4_30,argentum,argentum,NOUN,argentum,NOUN
ch_4,ch_4_31,denarios,denarius,NOUN,denarius,ADJ
ch_4,ch_4_32,bonos,bonus,ADJ,bonus,ADJ
ch_4,ch_4_33,expendiviles,expendibilis,ADJ,expendivilis,ADJ
ch_4,ch_4_34,numero,numerus,NOUN,numero,ADV
ch_4,ch_4_35,viginti,uiginti,NUM,vigintus,NUM
ch_4,ch_4_36,et,et,CCONJ,et,CCONJ
ch_4,ch_4_37,tres,tres,NUM,tres,NUM
